a,a,0.0007,0.0007
a,b,0.0834,0.169
a,c,0.2716,0.2106
a,d,0.097,0.271
a,e,0.5546,0.0049
a,f,0.1036,0.0547
a,g,0.1003,0.1281
a,h,0.9913,0.0649
a,i,0.0867,0.2933
a,j,0.0189,0.0019
a,k,0.0042,0.0915
a,l,0.3137,0.6919
a,m,0.3436,0.1582
a,n,0.1403,1.3035
a,o,0.1093,0.0016
a,p,0.1572,0.1457
a,q,0,0.0004
a,r,0.2953,0.6705
a,s,0.1906,0.6055
a,t,0.3015,0.8823
a,u,0.0444,0.0493
a,v,0.065,0.1452
a,w,0.3382,0.0654
a,x,0.0079,0.0031
a,y,0.0257,0.1824
a,z,0.0049,0.0159
a, ,2.0305,0.4691

b,a,0.169,0.0834
b,b,0.0356,0.0356
b,c,0,0.0003
b,d,0.0032,0.0008
b,e,0.022,0.353
b,f,0.0011,0
b,g,0.0012,0.0001
b,h,0.0036,0.0007
b,i,0.0458,0.0522
b,j,0,0.0073
b,k,0.0016,0
b,l,0.0067,0.1647
b,m,0.0404,0.0012
b,n,0.0058,0.0001
b,o,0.0492,0.2077
b,p,0.0013,0
b,q,0,0
b,r,0.0395,0.0802
b,s,0.0031,0.0351
b,t,0.0028,0.0101
b,u,0.0649,0.2263
b,v,0,0.0011
b,w,0.001,0.0003
b,x,0.0002,0
b,y,0.0037,0.1181
b,z,0.0005,0
b, ,0.9426,0.0661

c,a,0.2106,0.2716
c,b,0.0003,0
c,c,0.03,0.03
c,d,0.0016,0.0001
c,e,0.1717,0.2936
c,f,0.0011,0
c,g,0.0004,0
c,h,0.0007,0.3241
c,i,0.2385,0.1009
c,j,0,0
c,k,0.0002,0.1789
c,l,0.0047,0.0687
c,m,0.0006,0.0001
c,n,0.2011,0
c,o,0.0644,0.3192
c,p,0.0003,0
c,q,0,0.0016
c,r,0.0525,0.1124
c,s,0.0718,0.0033
c,t,0.0362,0.1038
c,u,0.1186,0.0778
c,v,0,0
c,w,0.0009,0
c,x,0.0144,0
c,y,0.0012,0.0131
c,z,0,0.0007
c, ,0.7148,0.0365

d,a,0.271,0.097
d,b,0.0008,0.0032
d,c,0.0001,0.0016
d,d,0.0365,0.0365
d,e,0.7897,0.4281
d,f,0.0004,0.0084
d,g,0.0007,0.0112
d,h,0.002,0.003
d,i,0.1916,0.2319
d,j,0,0.0007
d,k,0,0.0006
d,l,0.2095,0.0483
d,m,0.0003,0.0065
d,n,0.9436,0.0166
d,o,0.1254,0.1484
d,p,0.0004,0.0016
d,q,0,0
d,r,0.1565,0.0662
d,s,0.0021,0.1144
d,t,0.0009,0.0037
d,u,0.0487,0.0341
d,v,0,0.0091
d,w,0.0055,0.0059
d,x,0,0
d,y,0.0016,0.0356
d,z,0.0001,0
d, ,0.4901,1.9653

e,a,0.0049,0.5546
e,b,0.353,0.022
e,c,0.2936,0.1717
e,d,0.4281,0.7897
e,e,0.3984,0.3984
e,f,0.119,0.079
e,g,0.1951,0.0848
e,h,2.2793,0.0293
e,i,0.1722,0.122
e,j,0.0205,0.0025
e,k,0.238,0.0092
e,l,0.7227,0.3524
e,m,0.4972,0.2066
e,n,0.4617,0.7701
e,o,0.0314,0.0225
e,p,0.2992,0.0863
e,q,0,0.0504
e,r,1.005,1.2871
e,s,0.5816,0.7451
e,t,0.6187,0.2763
e,u,0.1073,0.008
e,v,0.4947,0.1681
e,w,0.2333,0.0775
e,x,0.0099,0.068
e,y,0.1385,0.11
e,z,0.0249,0.0053
e, ,0.336,3.5675

f,a,0.0547,0.1036
f,b,0,0.0011
f,c,0,0.0011
f,d,0.0084,0.0004
f,e,0.079,0.119
f,f,0.0696,0.0696
f,g,0.0015,0.0001
f,h,0.0028,0.0009
f,i,0.1126,0.1615
f,j,0,0.0001
f,k,0.0017,0
f,l,0.055,0.0694
f,m,0.0038,0.001
f,n,0.0229,0.0001
f,o,0.6318,0.2866
f,p,0.001,0.0005
f,q,0,0
f,r,0.0153,0.1366
f,s,0.0042,0.0049
f,t,0.0055,0.0781
f,u,0.013,0.0643
f,v,0,0
f,w,0.0028,0.0017
f,x,0.0001,0
f,y,0.0022,0.0028
f,z,0,0
f, ,0.7067,0.6911

g,a,0.1281,0.1003
g,b,0.0001,0.0012
g,c,0,0.0004
g,d,0.0112,0.0007
g,e,0.0848,0.1951
g,f,0.0001,0.0015
g,g,0.0259,0.0259
g,h,0.0006,0.2373
g,i,0.1906,0.0709
g,j,0,0.0001
g,k,0.0005,0.0001
g,l,0.0026,0.0642
g,m,0.0003,0.0026
g,n,0.8533,0.0309
g,o,0.0295,0.1083
g,p,0.0007,0.0014
g,q,0,0.0001
g,r,0.0367,0.1036
g,s,0.0015,0.0575
g,t,0.0013,0.0128
g,u,0.1145,0.0348
g,v,0,0.0004
g,w,0,0.002
g,x,0,0
g,y,0.0007,0.0061
g,z,0,0.0001
g, ,0.3004,0.725

h,a,0.0649,0.9913
h,b,0.0007,0.0036
h,c,0.3241,0.0007
h,d,0.003,0.002
h,e,0.0293,2.2793
h,f,0.0009,0.0028
h,g,0.2373,0.0006
h,h,0.0012,0.0012
h,i,0.0008,0.817
h,j,0,0
h,k,0.0008,0.0002
h,l,0.0007,0.0069
h,m,0.0006,0.0063
h,n,0.0079,0.0044
h,o,0.0168,0.3895
h,p,0.0284,0.0012
h,q,0,0.0006
h,r,0.0134,0.069
h,s,0.293,0.014
h,t,2.7052,0.15
h,u,0.0001,0.0709
h,v,0,0.0003
h,w,0.4967,0.0046
h,x,0.003,0
h,y,0.0035,0.0308
h,z,0.0001,0
h, ,1.1588,0.544

i,a,0.2933,0.0867
i,b,0.0522,0.0458
i,c,0.1009,0.2385
i,d,0.2319,0.1916
i,e,0.122,0.1722
i,f,0.1615,0.1126
i,g,0.0709,0.1906
i,h,0.817,0.0008
i,i,0.004,0.004
i,j,0.0017,0.0014
i,k,0.0857,0.0701
i,l,0.3934,0.3248
i,m,0.144,0.2426
i,n,0.1609,1.6927
i,o,0.0688,0.1832
i,p,0.105,0.0978
i,q,0,0.0028
i,r,0.3635,0.2161
i,s,0.2429,0.7339
i,t,0.4317,0.6776
i,u,0.047,0.0038
i,v,0.1294,0.1172
