121,14,1.89
77,11,1.48
801,11,1.48
44,11,1.48
82,9,1.21
510,9,1.21
159,9,1.21
205,9,1.21
75,9,1.21
222,8,1.08
209,8,1.08
42,8,1.08
76,8,1.08
4,8,1.08
115,7,0.94
253,6,0.81
20,6,0.81
14,6,0.81
26,6,0.81
9,6,0.81
24,6,0.81
1020,6,0.81
185,5,0.67
403,5,0.67
238,5,0.67
156,5,0.67
70,5,0.67
250,5,0.67
244,5,0.67
88,5,0.67
182,5,0.67
123,5,0.67
478,5,0.67
39,5,0.67
18,5,0.67
129,4,0.54
183,4,0.54
52,4,0.54
64,4,0.54
25,4,0.54
268,4,0.54
128,4,0.54
338,4,0.54
78,4,0.54
72,4,0.54
35,4,0.54
6,4,0.54
203,4,0.54
114,4,0.54
254,4,0.54
312,4,0.54
99,3,0.40
16,3,0.40
193,3,0.40
252,3,0.40
116,3,0.40
555,3,0.40
98,3,0.40
65,3,0.40
147,3,0.40
200,3,0.40
235,3,0.40
192,3,0.40
190,3,0.40
49,3,0.40
647,3,0.40
136,3,0.40
45,3,0.40
230,3,0.40
369,3,0.40
242,3,0.40
751,2,0.27
887,2,0.27
613,2,0.27
883,2,0.27
929,2,0.27
1021,2,0.27
47,2,0.27
157,2,0.27
379,2,0.27
67,2,0.27
661,2,0.27
677,2,0.27
953,2,0.27
458,2,0.27
269,2,0.27
443,2,0.27
17,2,0.27
89,2,0.27
777,2,0.27
461,2,0.27
743,2,0.27
593,2,0.27
983,2,0.27
197,2,0.27
359,2,0.27
79,2,0.27
241,2,0.27
523,2,0.27
41,2,0.27
233,2,0.27
68,2,0.27
13,2,0.27
457,2,0.27
733,2,0.27
223,2,0.27
37,2,0.27
491,2,0.27
992,2,0.27
614,2,0.27
422,2,0.27
683,2,0.27
191,2,0.27
971,2,0.27
569,2,0.27
271,2,0.27
521,2,0.27
859,2,0.27
11,2,0.27
347,2,0.27
641,2,0.27
311,2,0.27
719,2,0.27
433,2,0.27
137,2,0.27
739,2,0.27
599,2,0.27
167,2,0.27
307,2,0.27
709,2,0.27
997,2,0.27
163,2,0.27
29,2,0.27
251,2,0.27
977,2,0.27
43,2,0.27
373,2,0.27
653,2,0.27
839,2,0.27
101,2,0.27
853,2,0.27
367,2,0.27
577,2,0.27
691,2,0.27
353,2,0.27
911,2,0.27
227,2,0.27
761,2,0.27
631,2,0.27
317,2,0.27
1013,2,0.27
607,2,0.27
757,2,0.27
179,2,0.27
941,2,0.27
439,2,0.27
727,2,0.27
787,2,0.27
131,2,0.27
293,2,0.27
487,2,0.27
967,2,0.27
1031,2,0.27
73,2,0.27
277,2,0.27
571,2,0.27
509,2,0.27
283,2,0.27
601,2,0.27
103,2,0.27
313,2,0.27
109,2,0.27
5,2,0.27
421,2,0.27
19,2,0.27
71,2,0.27
863,2,0.27
331,2,0.27
349,2,0.27
113,2,0.27
107,2,0.27
701,2,0.27
877,2,0.27
127,2,0.27
479,2,0.27
608,2,0.27
174,2,0.27
23,2,0.27
919,2,0.27
31,2,0.27
467,2,0.27
198,2,0.27
314,2,0.27
829,2,0.27
449,2,0.27
673,2,0.27
587,2,0.27
769,2,0.27
83,2,0.27
229,2,0.27
3,2,0.27
809,2,0.27
419,2,0.27
557,2,0.27
821,2,0.27
199,2,0.27
389,2,0.27
401,2,0.27
463,2,0.27
827,2,0.27
907,2,0.27
149,2,0.27
281,2,0.27
431,2,0.27
563,2,0.27
991,2,0.27
61,2,0.27
397,2,0.27
823,2,0.27
1019,2,0.27
937,2,0.27
257,2,0.27
499,2,0.27
239,2,0.27
2,2,0.27
409,2,0.27
643,2,0.27
811,2,0.27
773,2,0.27
173,2,0.27
337,2,0.27
140,2,0.27
8,2,0.27
12,2,0.27
151,2,0.27
881,2,0.27
36,2,0.27
53,2,0.27
383,2,0.27
59,2,0.27
1009,2,0.27
181,2,0.27
139,2,0.27
617,2,0.27
947,2,0.27
619,2,0.27
857,2,0.27
984,2,0.27
211,1,0.13
150,1,0.13
97,1,0.13
559,1,0.13
03,1,0.13
707,1,0.13
92,1,0.13
503,1,0.13
263,1,0.13
228,1,0.13
547,1,0.13
659,1,0.13
7,1,0.13
797,1,0.13
541,1,0.13
51,1,0.13
21,1,0.13
